sheet_number,sheet_name,discipline,page_number,scope_package,bid_item,subheading,n_regions,verdict,reason,extracted_text_sample,json_text_sample,quad_px_boxes
A-005,Bldg Types Roof Plan,Architectural,4,Membrane Roofing,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,Others,2,RIGHT,"Referenced text (""F. WHERE ROOF TO VERTICAL WALL INTERSECTIONS OCCUR, RUN MEMBRANE MINIMUM 8"" UP WALL. REFER TO DETAILS FOR TERMINATION. | G. ROOF MEMBRANE TO BE 80 MIL"") supports the item; matched terms: membrane, roof.","F. WHERE ROOF TO VERTICAL WALL INTERSECTIONS OCCUR, RUN MEMBRANE MINIMUM 8"" UP WALL. REFER TO DETAILS FOR TERMINATION. | G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.","F. WHERE ROOF TO VERTICAL WALL INTERSECTIONS OCCUR, RUN MEMBRANE MINIMUM 8"" UP WALL. REFER TO DETAILS FOR TERMINATION. | G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.",
A-005,Bldg Types Roof Plan,Architectural,4,Thermal Protection,Furnish & Install Tapered Rigid Insulation,Rigid Insulation,3,RIGHT,"Referenced text (""D. PROVIDE BUILT-UP TAPERED INSULATION ROOF CRICKETS AT ALL LOCATIONS OF CURBS, ROOFTOP EQUIPMENT, ETC. TO ALLOW POSITIVE DRAINAGE AND PREVENT PONDING"") supports the item; matched terms: insulation, tapered.","D. PROVIDE BUILT-UP TAPERED INSULATION ROOF CRICKETS AT ALL LOCATIONS OF CURBS, ROOFTOP EQUIPMENT, ETC. TO ALLOW POSITIVE DRAINAGE AND PREVENT PONDING. | E. TAPERED INSULATION SLOPE TO BE 1/4"" PER FOOT MINIMUM. SLOPE AS INDICATED ON PLANS. | H. SLOPE ALL CRICKETS AS SHOWN AT A MINIMUM OF 1/4"" PER FOOT, UNLESS NOTED OTHERWISE.","D. PROVIDE BUILT-UP TAPERED INSULATION ROOF CRICKETS AT ALL LOCATIONS OF CURBS, ROOFTOP EQUIPMENT, ETC. TO ALLOW POSITIVE DRAINAGE AND PREVENT PONDING. | E. TAPERED INSULATION SLOPE TO BE 1/4"" PER FOOT MINIMUM. SLOPE AS INDICATED ON PLANS. | H. SLOPE ALL CRICKETS AS SHOWN AT A MINIMUM OF 1/4"" PER FOOT, UNLESS NOTED OTHERWISE.",
A-005,Bldg Types Roof Plan,Architectural,4,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,112,WRONG,"[Manual review] A-005 is a roof plan (BLDG TYPES - ROOF PLAN). All referenced text is column/row grid bubbles (A1, A4, AX, AV, AZ...) and roof-slope callouts (1.7%) around the edges of the roof plans, not wall-type tags. No wall assembly tag appears in any referenced region.",F3 A1 | F3 A1 | A4 | A4 | AX | AX | AV 1.7% | AV | AZ | AZ | A2 | A2 | A3 | A3 | F3 A1 | F3 A1 | A4 | A4 | AX | AX | AV 1.7% | AV | AZ | AZ | A2 | A2 | A3 | A3 | F1 A1 | F1 A1 | A4 | A4 | AX | AX | AV | AV | AZ 1.7% | AZ | A2 | A2 | A3 | A3 | F1 A1 | F1 A1 | A4 | A4 | AX | AX | AV | AV | AZ 1.7% | AZ | A2 | A2 | A3 | A3 | F1 A1 | F1 A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | A2 | A2 | A3 | A3 | ,A1 | A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | A2 | A2 | A3 | A3 | A1 | A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | A2 | A2 | A3 | A3 | A1 | A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | A2 | A2 | A3 | A3 | A1 | A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | A2 | A2 | A3 | A3 | A1 | A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | A2 | A2 | A3 | A3 | A1 | A1 | A4 | A4 | AX | AX | AV | AV | AZ | AZ | ,"1097,1316,1110,1316,1110,1328,1097,1328; 1097,722,1110,722,1110,735,1097,735; 1321,722,1334,722,1334,734,1321,734; 1321,1315,1334,1315,1334,1328,1321,1328; 1033,1019,1047,1019,1047,1031,1033,1031; 1411,1019,1425,1019,1425,1031,1411,1031; 1033,845,1047,845,1047,858,1033,858; 1411,845,1425,845,1425,858,1411,858; 1034,1192,1047,1192,1047,1204,1034,1204; 1420,1192,1433,1192,1433,1204,1420,1204; 1177,722,1190,722,1190,734,1177,734; 1177,1315,1190,1315,1190,1328,1177,1328; 1249,722,1262,722,1262,734,1249,734; 1249,1315,1262,1315,1262,1328,1249,1328; 2109,1316,2122,1316,2122,1328,2109,1328; 2109,722,2122,722,2122,735,2109,735; 2334,722,2346,722,2346,734,2334,734; 2334,1315,2346,1315,2346,1328,2334,1328; 2046,1019,2060,1019,2060,1031,2046,1031; 2423,1019,2437,1019,2437,1031,2423,1031; 2046,845,2060,845,2060,858,2046,858; 2423,845,2437,845,2437,858,2423,858; 2046,1192,2059,1192,2059,1204,2046,1204; 2433,1192,2446,1192,2446,1204,2433,1204; 2190,722,2202,722,2202,734,2190,734; 2190,1315,2202,1315,2202,1328,2190,1328; 2262,722,2274,722,2274,734,2262,734; 2262,1315,2274,1315,2274,1328,2262,1328; 2005,722,2017,722,2017,734,2005,734; 2005,1315,2017,1315,2017,1328,2005,1328; 1780,1316,1793,1316,1793,1328,1780,1328; 1780,722,1793,722,1793,735,1780,735; 2067,1019,2081,1019,2081,1031,2067,1031; 1690,1019,1704,1019,1704,1031,1690,1031; 2067,1192,2081,1192,2081,1204,2067,1204; 1690,1192,1704,1192,1704,1204,1690,1204; 2068,845,2081,845,2081,858,2068,858; 1681,845,1694,845,1694,858,1681,858; 1924,1316,1937,1316,1937,1328,1924,1328; 1924,722,1937,722,1937,735,1924,735; 1852,1316,1865,1316,1865,1328,1852,1328; 1852,722,1865,722,1865,735,1852,735; 433,722,446,722,446,734,433,734; 433,1315,446,1315,446,1328,433,1328; 209,1316,221,1316,221,1328,209,1328; 209,722,221,722,221,735,209,735; 496,1019,509,1019,509,1031,496,1031; 118,1019,132,1019,132,1031,118,1031; 496,1192,509,1192,509,1204,496,1204; 118,1192,132,1192,132,1204,118,1204; 496,845,509,845,509,858,496,858; 109,845,123,845,123,858,109,858; 353,1316,365,1316,365,1328,353,1328; 353,722,365,722,365,735,353,735; 281,1316,293,1316,293,1328,281,1328; 281,722,293,722,293,735,281,735; 433,1397,446,1397,446,1409,433,1409; 433,1990,446,1990,446,2003,433,2003; 209,1991,221,1991,221,2003,209,2003; 209,1397,221,1397,221,1410,209,1410; 496,1694,509,1694,509,1706,496,1706; 118,1694,132,1694,132,1706,118,1706; 496,1867,509,1867,509,1879,496,1879; 118,1867,132,1867,132,1879,118,1879; 496,1520,509,1520,509,1533,496,1533; 109,1520,123,1520,123,1533,109,1533; 353,1991,365,1991,365,2003,353,2003; 353,1397,365,1397,365,1410,353,1410; 281,1991,293,1991,293,2003,281,2003; 281,1397,293,1397,293,1410,281,1410; 2109,1991,2122,1991,2122,2003,2109,2003; 2109,1397,2122,1397,2122,1410,2109,1410; 2334,1397,2346,1397,2346,1409,2334,1409; 2334,1990,2346,1990,2346,2003,2334,2003; 2046,1694,2060,1694,2060,1706,2046,1706; 2423,1694,2437,1694,2437,1706,2423,1706; 2046,1520,2060,1520,2060,1533,2046,1533; 2423,1520,2437,1520,2437,1533,2423,1533; 2046,1867,2059,1867,2059,1879,2046,1879; 2433,1867,2446,1867,2446,1879,2433,1879; 2190,1397,2202,1397,2202,1409,2190,1409; 2190,1990,2202,1990,2202,2003,2190,2003; 2262,1397,2274,1397,2274,1409,2262,1409; 2262,1990,2274,1990,2274,2003,2262,2003; 1097,641,1110,641,1110,653,1097,653; 1097,47,1110,47,1110,60,1097,60; 1321,47,1334,47,1334,59,1321,59; 1321,640,1334,640,1334,653,1321,653; 1033,344,1047,344,1047,356,1033,356; 1411,344,1425,344,1425,356,1411,356; 1033,170,1047,170,1047,183,1033,183; 1411,170,1425,170,1425,183,1411,183; 1034,517,1047,517,1047,529,1034,529; 1420,517,1433,517,1433,529,1420,529; 1177,47,1190,47,1190,59,1177,59; 1177,640,1190,640,1190,653,1177,653; 1249,47,1262,47,1262,59,1249,59; 1249,640,1262,640,1262,653,1249,653; 433,47,446,47,446,59,433,59; 433,640,446,640,446,653,433,653; 209,641,221,641,221,653,209,653; 209,47,221,47,221,60,209,60; 496,344,509,344,509,356,496,356; 118,344,132,344,132,356,118,356; 496,517,509,517,509,529,496,529; 118,517,132,517,132,529,118,529; 496,170,509,170,509,183,496,183; 109,170,123,170,123,183,109,183; 353,641,365,641,365,653,353,653; 353,47,365,47,365,60,353,60; 281,641,293,641,293,653,281,653; 281,47,293,47,293,60,281,60"
A-005,Bldg Types Roof Plan,Architectural,4,Roof and Wall Specialties and Accessories,Furnish & Install Roof Protection at Rooftop Equipment,Roof Walkways,1,RIGHT,"Referenced text (""C. PROVIDE ROOF PROTECTION TO ALL ROOF TOP EQUIPMENT."") supports the item; matched terms: equipment, protection, roof.",C. PROVIDE ROOF PROTECTION TO ALL ROOF TOP EQUIPMENT.,C. PROVIDE ROOF PROTECTION TO ALL ROOF TOP EQUIPMENT.,
A-005,Bldg Types Roof Plan,Architectural,4,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,Others,96,WRONG,"[Manual review] A-005 is a roof plan with no floor finish content. Referenced text is column/row grid bubbles (F1, F3, FZ, FX, FV, F2...), not a floor finish schedule reference.",F1 E1 | F1 E1 | F3 A1 | F3 A1 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 A1 | F1 A1 | F3 A1 | F3 A1 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 C1 | F1 C1 | F3 A1 | F3 A1 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 C1 | F1 C1 | F3 A1 | F3 A1 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 C1 | F1 C1 | F3 E1 | F3 E1 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 A1 | F1 A1 | F3 B1 | F3 B1 | FZ | FZ ,F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | FV | FV | F2 | F2 | F1 | F1 | F3 | F3 | FZ | FZ | FX | FX | ,"2005,1991,2017,1991,2017,2003,2005,2003; 2005,1397,2017,1397,2017,1410,2005,1410; 2110,1397,2122,1397,2122,1409,2110,1409; 2110,1990,2122,1990,2122,2003,2110,2003; 1949,1867,1962,1867,1962,1879,1949,1879; 2181,1867,2194,1867,2194,1879,2181,1879; 1949,1694,1962,1694,1962,1706,1949,1706; 2170,1694,2183,1694,2183,1706,2170,1706; 1949,1520,1962,1520,1962,1533,1949,1533; 2170,1520,2183,1520,2183,1533,2170,1533; 2057,1991,2069,1991,2069,2003,2057,2003; 2057,1397,2069,1397,2069,1410,2057,1410; 2005,1316,2017,1316,2017,1328,2005,1328; 2005,722,2017,722,2017,735,2005,735; 2110,722,2122,722,2122,734,2110,734; 2110,1315,2122,1315,2122,1328,2110,1328; 1949,1192,1962,1192,1962,1204,1949,1204; 2181,1192,2194,1192,2194,1204,2181,1204; 1949,1019,1962,1019,1962,1031,1949,1031; 2170,1019,2183,1019,2183,1031,2170,1031; 1949,845,1962,845,1962,858,1949,858; 2170,845,2183,845,2183,858,2170,858; 2057,1316,2069,1316,2069,1328,2057,1328; 2057,722,2069,722,2069,735,2057,735; 993,1316,1005,1316,1005,1328,993,1328; 993,722,1005,722,1005,735,993,735; 1097,722,1109,722,1109,734,1097,734; 1097,1315,1109,1315,1109,1328,1097,1328; 937,1192,949,1192,949,1204,937,1204; 1169,1192,1181,1192,1181,1204,1169,1204; 936,1019,950,1019,950,1031,936,1031; 1157,1019,1170,1019,1170,1031,1157,1031; 936,845,950,845,950,858,936,858; 1157,845,1170,845,1170,858,1157,858; 1045,1316,1057,1316,1057,1328,1045,1328; 1045,722,1057,722,1057,735,1045,735; 993,641,1005,641,1005,653,993,653; 993,47,1005,47,1005,60,993,60; 1097,47,1109,47,1109,59,1097,59; 1097,640,1109,640,1109,653,1097,653; 937,517,949,517,949,529,937,529; 1169,517,1181,517,1181,529,1169,529; 936,344,950,344,950,356,936,356; 1157,344,1170,344,1170,356,1157,356; 936,170,950,170,950,183,936,183; 1157,170,1170,170,1170,183,1157,183; 1045,641,1057,641,1057,653,1045,653; 1045,47,1057,47,1057,60,1045,60; 993,1991,1005,1991,1005,2003,993,2003; 993,1397,1005,1397,1005,1410,993,1410; 1097,1397,1109,1397,1109,1409,1097,1409; 1097,1990,1109,1990,1109,2003,1097,2003; 937,1867,949,1867,949,1879,937,1879; 1169,1867,1181,1867,1181,1879,1169,1879; 936,1694,950,1694,950,1706,936,1706; 1157,1694,1170,1694,1170,1706,1157,1706; 936,1520,950,1520,950,1533,936,1533; 1157,1520,1170,1520,1170,1533,1157,1533; 1045,1991,1057,1991,1057,2003,1045,2003; 1045,1397,1057,1397,1057,1410,1045,1410; 433,641,446,641,446,653,433,653; 433,47,446,47,446,60,433,60; 538,47,550,47,550,59,538,59; 538,640,550,640,550,653,538,653; 378,517,390,517,390,529,378,529; 609,517,622,517,622,529,609,529; 377,344,391,344,391,356,377,356; 598,344,611,344,611,356,598,356; 377,170,391,170,391,183,377,183; 598,170,611,170,611,183,598,183; 486,641,498,641,498,653,486,653; 486,47,498,47,498,60,486,60; 433,1316,446,1316,446,1328,433,1328; 433,722,446,722,446,735,433,735; 538,722,550,722,550,734,538,734; 538,1315,550,1315,550,1328,538,1328; 378,1192,390,1192,390,1204,378,1204; 609,1192,622,1192,622,1204,609,1204; 377,1019,391,1019,391,1031,377,1031; 598,1019,611,1019,611,1031,598,1031; 377,845,391,845,391,858,377,858; 598,845,611,845,611,858,598,858; 486,1316,498,1316,498,1328,486,1328; 486,722,498,722,498,735,486,735; 433,1991,446,1991,446,2003,433,2003; 433,1397,446,1397,446,1410,433,1410; 538,1397,550,1397,550,1409,538,1409; 538,1990,550,1990,550,2003,538,2003; 378,1867,390,1867,390,1879,378,1879; 609,1867,622,1867,622,1879,609,1879; 377,1694,391,1694,391,1706,377,1706; 598,1694,611,1694,611,1706,598,1706; 377,1520,391,1520,391,1533,377,1533; 598,1520,611,1520,611,1533,598,1533; 486,1991,498,1991,498,2003,486,2003; 486,1397,498,1397,498,1410,486,1410"
A-005,Bldg Types Roof Plan,Architectural,4,Flooring,Furnish & Install Carpet,Carpet,56,WRONG,"[Manual review] A-005 is a roof plan with no flooring content. Referenced text is column/row grid bubbles (C1, C4, CX, CV, CZ...), not a carpet callout.",F1 C1 | F1 C1 | C4 B4 | C4 B4 | CX | CX | CV | CV | CZ 1.7% | CZ | C2 | C2 | C3 | C3 | F1 C1 | F1 C1 | C4 C4 | C4 C4 | CX | CX | CV 1.7% | CV | CZ 1.7% | CZ | C2 | C2 | C3 | C3 | F3 C1 | F3 C1 | C4 C4 | C4 C4 | CX | CX | CV 1.7% | CV | CZ | CZ | C2 | C2 | C3 | C3 | F1 C1 | F1 C1 | C4 B4 | C4 B4 | CX | CX | CV | CV | CZ 1.7% | CZ | C2 | C2 | C3 | C3,C1 | C1 | C4 | C4 | CX | CX | CV | CV | CZ | CZ | C2 | C2 | C3 | C3 | C1 | C1 | C4 | C4 | CX | CX | CV | CV | CZ | CZ | C2 | C2 | C3 | C3 | C1 | C1 | C4 | C4 | CX | CX | CV | CV | CZ | CZ | C2 | C2 | C3 | C3 | C1 | C1 | C4 | C4 | CX | CX | CV | CV | CZ | CZ | C2 | C2 | C3 | C3,"992,47,1005,47,1005,59,992,59; 992,640,1005,640,1005,653,992,653; 765,641,778,641,778,653,765,653; 765,47,778,47,778,60,765,60; 1074,344,1089,344,1089,356,1074,356; 696,344,710,344,710,356,696,356; 1060,517,1075,517,1075,529,1060,529; 702,517,717,517,717,529,702,529; 1060,170,1074,170,1074,183,1060,183; 702,170,716,170,716,183,702,183; 912,47,925,47,925,59,912,59; 912,640,925,640,925,653,912,653; 840,47,853,47,853,59,840,59; 840,640,853,640,853,653,840,653; 992,722,1005,722,1005,734,992,734; 992,1315,1005,1315,1005,1328,992,1328; 765,1316,778,1316,778,1328,765,1328; 765,722,778,722,778,735,765,735; 1074,1019,1089,1019,1089,1031,1074,1031; 696,1019,710,1019,710,1031,696,1031; 1060,1192,1075,1192,1075,1204,1060,1204; 702,1192,717,1192,717,1204,702,1204; 1060,845,1074,845,1074,858,1060,858; 702,845,716,845,716,858,702,858; 912,722,925,722,925,734,912,734; 912,1315,925,1315,925,1328,912,1328; 840,722,853,722,853,734,840,734; 840,1315,853,1315,853,1328,840,1328; 537,1316,551,1316,551,1328,537,1328; 537,722,551,722,551,735,537,735; 765,722,778,722,778,734,765,734; 765,1315,778,1315,778,1328,765,1328; 454,1019,469,1019,469,1031,454,1031; 832,1019,847,1019,847,1031,832,1031; 468,845,483,845,483,858,468,858; 826,845,841,845,841,858,826,858; 468,1192,482,1192,482,1204,468,1204; 827,1192,840,1192,840,1204,827,1204; 618,1316,631,1316,631,1328,618,1328; 618,722,631,722,631,735,618,735; 690,1316,703,1316,703,1328,690,1328; 690,722,703,722,703,735,690,735; 992,1397,1005,1397,1005,1409,992,1409; 992,1990,1005,1990,1005,2003,992,2003; 765,1991,778,1991,778,2003,765,2003; 765,1397,778,1397,778,1410,765,1410; 1074,1694,1089,1694,1089,1706,1074,1706; 696,1694,710,1694,710,1706,696,1706; 1060,1867,1075,1867,1075,1879,1060,1879; 702,1867,717,1867,717,1879,702,1879; 1060,1520,1074,1520,1074,1533,1060,1533; 702,1520,716,1520,716,1533,702,1533; 912,1397,925,1397,925,1409,912,1409; 912,1990,925,1990,925,2003,912,2003; 840,1397,853,1397,853,1409,840,1409; 840,1990,853,1990,853,2003,840,2003"
A-005,Bldg Types Roof Plan,Architectural,4,Electrical,Furnish & Install Unidentified Electrical Components for Estimator Review,Others,40,WRONG,"[Manual review] Referenced text is column/row grid bubbles (E1, E4, EX, EV, EZ, E2, E3, E5, EW, EY), not electrical components. There is no electrical content on this roof plan sheet.",F1 E1 | F1 E1 | E4 | E4 | EX | EX | EV 1.7% | EV | EZ 1.7% | EZ | E2 | E2 | E3 | E3 | E5 | E5 | EW | EW | EY | EY | F3 E1 | F3 E1 | E4 | E4 | EX | EX | EV 1.7% | EV | EZ | EZ | E2 | E2 | E3 | E3 | E5 | E5 | EW | EW | EY | EY,E1 | E1 | E4 | E4 | EX | EX | EV | EV | EZ | EZ | E2 | E2 | E3 | E3 | E5 | E5 | EW | EW | EY | EY | E1 | E1 | E4 | E4 | EX | EX | EV | EV | EZ | EZ | E2 | E2 | E3 | E3 | E5 | E5 | EW | EW | EY | EY,"2005,1397,2017,1397,2017,1409,2005,1409; 2005,1990,2017,1990,2017,2003,2005,2003; 1780,1991,1793,1991,1793,2003,1780,2003; 1780,1397,1793,1397,1793,1410,1780,1410; 2087,1694,2101,1694,2101,1706,2087,1706; 1618,1694,1632,1694,1632,1706,1618,1706; 2073,1867,2087,1867,2087,1879,2073,1879; 1618,1867,1632,1867,1632,1879,1618,1879; 2073,1520,2086,1520,2086,1533,2073,1533; 1619,1520,1632,1520,1632,1533,1619,1533; 1924,1397,1937,1397,1937,1409,1924,1409; 1924,1990,1937,1990,1937,2003,1924,2003; 1852,1397,1865,1397,1865,1409,1852,1409; 1852,1990,1865,1990,1865,2003,1852,2003; 1703,1991,1716,1991,1716,2003,1703,2003; 1703,1397,1716,1397,1716,1410,1703,1410; 2071,1804,2088,1804,2088,1816,2071,1816; 1617,1804,1634,1804,1634,1816,1617,1816; 2073,1583,2087,1583,2087,1596,2073,1596; 1618,1583,1632,1583,1632,1596,1618,1596; 1097,1991,1110,1991,1110,2003,1097,2003; 1097,1397,1110,1397,1110,1410,1097,1410; 1321,1397,1334,1397,1334,1409,1321,1409; 1321,1990,1334,1990,1334,2003,1321,2003; 1014,1694,1027,1694,1027,1706,1014,1706; 1482,1694,1496,1694,1496,1706,1482,1706; 1028,1520,1042,1520,1042,1533,1028,1533; 1482,1520,1496,1520,1496,1533,1482,1533; 1028,1867,1041,1867,1041,1879,1028,1879; 1482,1867,1496,1867,1496,1879,1482,1879; 1177,1991,1190,1991,1190,2003,1177,2003; 1177,1397,1190,1397,1190,1410,1177,1410; 1249,1991,1262,1991,1262,2003,1249,2003; 1249,1397,1262,1397,1262,1410,1249,1410; 1399,1397,1411,1397,1411,1409,1399,1409; 1399,1990,1411,1990,1411,2003,1399,2003; 1026,1583,1043,1583,1043,1596,1026,1596; 1481,1583,1497,1583,1497,1596,1481,1596; 1028,1804,1042,1804,1042,1816,1028,1816; 1482,1804,1496,1804,1496,1816,1482,1816"
A-005,Bldg Types Roof Plan,Architectural,4,Wall Finishes,Furnish & Install Wall Base,Others,28,WRONG,"[Manual review] A-005 is a roof plan with no wall-base content. Referenced text is column/row grid bubbles (B1, B4, BX, BV, BZ...), not a wall base callout.",F3 B1 | F3 B1 | C4 B4 | C4 B4 | BX | BX | BV 1.7% | BV | BZ | BZ | B2 | B2 | B3 | B3 | F3 B1 | F3 B1 | C4 B4 | C4 B4 | BX | BX | BV 1.7% | BV | BZ | BZ | B2 | B2 | B3 | B3,B1 | B1 | B4 | B4 | BX | BX | BV | BV | BZ | BZ | B2 | B2 | B3 | B3 | B1 | B1 | B4 | B4 | BX | BX | BV | BV | BZ | BZ | B2 | B2 | B3 | B3,"538,641,550,641,550,653,538,653; 538,47,550,47,550,60,538,60; 765,47,778,47,778,59,765,59; 765,640,778,640,778,653,765,653; 474,344,488,344,488,356,474,356; 833,344,847,344,847,356,833,356; 474,170,488,170,488,183,474,183; 827,170,840,170,840,183,827,183; 474,517,488,517,488,529,474,529; 827,517,840,517,840,529,827,529; 618,641,631,641,631,653,618,653; 618,47,631,47,631,60,618,60; 690,641,703,641,703,653,690,653; 690,47,703,47,703,60,690,60; 538,1991,550,1991,550,2003,538,2003; 538,1397,550,1397,550,1410,538,1410; 765,1397,778,1397,778,1409,765,1409; 765,1990,778,1990,778,2003,765,2003; 474,1694,488,1694,488,1706,474,1706; 833,1694,847,1694,847,1706,833,1706; 474,1520,488,1520,488,1533,474,1533; 827,1520,840,1520,840,1533,827,1533; 474,1867,488,1867,488,1879,474,1879; 827,1867,840,1867,840,1879,827,1879; 618,1991,631,1991,631,2003,618,2003; 618,1397,631,1397,631,1410,618,1410; 690,1991,703,1991,703,2003,690,2003; 690,1397,703,1397,703,1410,690,1410"
A-005,Bldg Types Roof Plan,Architectural,4,Precast Concrete,Furnish & Install Precast Concrete Stair Treads,Stairs,1,WRONG,"All referenced regions are title-block/page furniture - e.g. the architect's own office address/phone (""T 801.924.5000"") - not a scope of work.",T 801.924.5000,T 801.924.5000,"2790,324,2880,324,2880,333,2790,333"
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Wall Finishes,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,Wall Covering,5,WRONG,"All referenced regions are column/row grid bubbles (e.g. ""A B BR C BR A; A C BR C BR A; A B BR C BR D; A BR A; E BR A""), not a scope of work.",A B BR C BR A | A C BR C BR A | A B BR C BR D | A BR A | E BR A,A B BR C BR A | A C BR C BR A | A B BR C BR D | A BR A | E BR A,"2536,1727,2639,1727,2639,1736,2536,1736; 2536,1790,2639,1790,2639,1799,2536,1799; 2536,1853,2639,1853,2639,1862,2536,1862; 2691,1790,2733,1790,2733,1799,2691,1799; 2691,1853,2733,1853,2733,1862,2691,1862"
